132842	795000	3	3	2371	335.30
134364	399000	4	3	2818	141.59
135141	545000	4	3	3032	179.75
135712	909000	4	4	3540	256.78
136282	109900	3	1	1249	87.99
136431	324900	3	3	1800	180.50
137036	192900	4	2	1603	120.34
137090	215000	3	2	1450	148.28
137159	999000	4	3	3360	297.32
137570	319000	3	2	1323	241.12
138053	350000	3	2	1750	200.00
138730	249000	3	2	1400	177.86
139291	299000	2	2	1257	237.87
139427	235900	3	2	1400	168.50
139461	348000	3	2	1600	217.50
139661	314000	4	3	1794	175.03
139918	399000	4	2	1850	215.68
139932	599000	3	3	2950	203.05
140044	299000	3	2	1719	173.94
140073	425000	3	3	1472	288.72
140077	1100000	4	3	4168	263.92
140080	1500000	3	3	3880	386.60
140113	110000	2	1	1000	110.00
140395	200000	3	2	1139	175.59
140460	134900	3	1	1080	124.91
140703	250000	4	3	2000	125.00
140720	950000	3	4	1920	494.79
140731	239950	4	2	1348	178.00
141188	170000	3	2	1280	132.81
141212	285000	3	2	2400	118.75
141232	279000	3	3	1700	164.12
141529	219000	3	2	1600	136.88
141541	155000	3	2	1050	147.62
141737	389000	3	2	1415	274.91
141847	340000	3	1	1110	306.31
141869	95000	2	1	797	119.20
142216	140000	2	2	1100	127.27
142340	1100000	3	3	2602	422.75
142442	360000	4	3	2351	153.13
142528	415000	3	3	1350	307.41
142539	250000	4	2	1206	207.30
142585	559000	3	3	2628	212.71
142818	525000	3	3	2365	221.99
142829	779000	3	3	2990	260.54
142870	595000	3	2	1750	340.00
142977	1150000	4	5	5500	209.09
143037	550000	3	2	1852	296.98
143155	500000	3	2	2100	238.10
143170	279000	4	3	2580	108.14
143178	375000	4	2	1963	191.03
143217	330000	3	3	1900	173.68
143252	199000	3	3	1450	137.24
143255	165000	2	2	1000	165.00
143436	1399000	4	3	6500	215.23
143507	255000	3	2	1218	209.36
143524	325000	2	2	893	363.94
143534	789000	3	3	2100	375.71
143540	498000	4	3	2341	212.73
143884	430000	4	2	2168	198.34
143946	539900	4	3	3032	178.07
144204	499000	3	2	1293	385.92
144238	275000	3	2	1200	229.17
144312	499000	3	4	2250	221.78
144314	899000	3	3	2430	369.96
144316	1045000	3	3	2100	497.62
144318	774000	2	2	1550	499.35
144370	239000	3	3	1800	132.78
144380	195000	3	2	1218	160.10
144788	325000	2	1	768	423.18
144815	320000	4	2	1929	165.89
144896	275000	4	3	1877	146.51
145087	329000	3	2	1700	193.53
145138	140000	3	2	1080	129.63
145309	409000	4	3	2192	186.59
145448	167900	3	2	1296	129.55
145471	325000	7	5	2688	120.91
145726	119000	1	1	900	132.22
145745	245000	4	2	1482	165.32
145789	259900	3	2	1726	150.58
145850	495000	3	2	1486	333.11
145952	399000	4	2	1543	258.59
146040	329700	4	2	1367	241.19
146110	199000	1	1	712	279.49
146130	149000	3	2	1040	143.27
146144	225000	3	2	1456	154.53
146149	195000	2	1	811	240.44
